date	OrgPegNumber	OrgTubeNumber	PegNumber	TubeNumber	ScientificName	IDcertainty	Frequency	Fertile	Field_remarks	General_remarks
1992-07-23	-41	7	24	4	Hierochloë alpina	OK	1	NA	No remarks	No remarks
1992-07-23	-41	7	24	4	Pedicularis hirsuta	OK	1	NA	No remarks	No remarks
1992-07-23	-41	7	24	4	Salix arctica	OK	3	NA	No remarks	No remarks
1992-07-23	-41	8	24	3	Silene acaulis	OK	1	NA	No remarks	No remarks
1992-07-23	-41	8	24	3	Dryas sp.	OK	1	NA	No remarks	No remarks
1992-07-23	-41	9	24	2	Hierochloë alpina	OK	1	NA	No remarks	No remarks
1992-07-23	-41	9	24	2	Poa arctica	OK	1	NA	No remarks	No remarks
1992-07-23	-41	10	24	1	Polygonum viviparum	OK	1	NA	Salix-Dryas-Cass heath. Much whitish organic crust. Probably lichens. SW-exposed.	No remarks
1992-07-23	-41	10	24	1	Potentilla hyparctica	OK	1	NA	Salix-Dryas-Cass heath. Much whitish organic crust. Probably lichens. SW-exposed.	No remarks
1992-07-23	-41	10	24	1	Salix arctica	OK	2	NA	Salix-Dryas-Cass heath. Much whitish organic crust. Probably lichens. SW-exposed.	No remarks
1992-07-23	-38	1	27	10	Vaccinium uliginosum	OK	2	NA	No remarks	No remarks
1992-07-23	-38	2	27	9	Dryas sp.	OK	1	NA	No remarks	No remarks
1992-07-23	-38	3	27	8	Cassiope tetragona	OK	3	NA	No remarks	No remarks
1992-07-23	-38	3	27	8	Poa glauca	OK	3	NA	No remarks	No remarks
1992-07-23	-38	3	27	8	Vaccinium uliginosum	OK	3	NA	No remarks	No remarks
1992-07-23	-38	4	27	7	Cassiope tetragona	OK	2	NA	No remarks	No remarks
1992-07-23	-38	5	27	6	Vaccinium uliginosum	OK	2	NA	No remarks	No remarks
1992-07-23	-38	5	27	6	Dryas sp.	OK	3	NA	No remarks	No remarks
1992-07-23	-38	6	27	5	Cassiope tetragona	OK	1	NA	No remarks	No remarks
1992-07-23	-38	6	27	5	Luzula confusa	OK	1	NA	No remarks	No remarks
1992-07-23	-38	7	27	4	Vaccinium uliginosum	OK	2	NA	No remarks	No remarks
1992-07-23	-38	7	27	4	Dryas sp.	OK	2	NA	No remarks	No remarks
1992-07-23	-38	8	27	3	Carex rupestris	OK	2	NA	No remarks	No remarks
1992-07-23	-38	8	27	3	Festuca brachyphylla	OK	1	NA	No remarks	No remarks
1992-07-23	-38	9	27	2	Silene acaulis	OK	1	NA	No remarks	No remarks
1992-07-23	-38	9	27	2	Vaccinium uliginosum	OK	1	NA	No remarks	No remarks
1992-07-23	-38	9	27	2	Dryas sp.	OK	3	NA	No remarks	No remarks
1992-07-23	-38	10	27	1	Cassiope tetragona	OK	2	NA	Vacc.-Cass.-Dryas heath. Photo 238.	No remarks
1992-07-23	-38	10	27	1	Luzula confusa	OK	1	NA	Vacc.-Cass.-Dryas heath. Photo 238.	No remarks
1992-07-23	-36	1	29	10	Poa glauca	OK	2	NA	No remarks	No remarks
1992-07-23	-36	1	29	10	Dryas sp.	OK	3	NA	No remarks	No remarks
1992-07-23	-36	2	29	9	Carex rupestris	OK	2	NA	No remarks	No remarks
1992-07-23	-36	2	29	9	Draba arctica	OK	1	NA	No remarks	No remarks
1992-07-23	-36	3	29	8	Carex rupestris	OK	3	NA	No remarks	No remarks
1992-07-23	-36	3	29	8	Cerastium arcticum	OK	1	NA	No remarks	No remarks
1992-07-23	-36	3	29	8	Luzula confusa	OK	1	NA	No remarks	No remarks
1992-07-23	-36	3	29	8	Saxifraga oppositifolia	OK	1	NA	No remarks	No remarks
1992-07-23	-36	4	29	7	Saxifraga oppositifolia	OK	1	NA	No remarks	No remarks
1992-07-23	-36	4	29	7	Dryas sp.	OK	1	NA	No remarks	No remarks
